Month,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DocID,Doc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
27,BU,C7,S7,X,,,S1,C4,C5,S7,C7,,,S7,S4,S1,S5,H,,,C1H,S7,C3,S4,C7,,S,C*,S,C5,S4,S1,
4,CA,C1H,S3,X,,,S4,S1,S3,CT*,S4,C*,S,D,S5,C1,S4,CT*,,,S3,S4,S1,S3,C1H,,,X,X,S4,S3,C5,
24,CH,C2,C3,S5,C*,S,X,S2,C2,S1,C2,,,CT*,C2,X,S2,X,,,X,X,X,X,X,,,X,X,C1H,C2,C2,
5,DO,S4,H,S1,,,CT*,X,D,S4,C4,,,X,CT*,S3,C1,D,,,S4,S1,S5,C3,S4,,,X,X,C3,C4,C1H,
6,GR,S5*,S1,X,,,S3,C5,S1,C3,D,,,X,X,X,X,X,,,D,S5,S3,C1H,C3,,,X,X,S3,C5,D,
7,HA,X,D,C4,,,X,X,X,X,X,,,X,X,X,X,X,,,C4,C3,C4,D,S5,,,X,X,X,X,X,
8,HO,C3,C5,D,,,X,X,X,X,X,,,X,C5,CT*,D,C1,,,S5,C1H,D,S1,CT*,S,,X,X,X,X,X,
9,IS,X,C7,H,,,C3,H,S2,C7,C5,,,C7,C1,S5,CT*,S2,,,S1,C7,S2,C5,S2,C*,,X,X,X,X,X,
11,JU,X,X,X,,,X,C7,C3,D,S5,,,C5,D,C3,S1,S3,,,X,X,X,X,X,,,X,X,X,X,X,
12,LAN,S2,S5,X,,,X,X,X,X,S2,,,C1MR,X,S2,C2,S4,S,C*,CT*,S2,C7,C2,S7,,,X,X,X,X,X,
13,LANG,B,S2,S7,,,S2,S3,H,S2,S1,,,S2,S7,X,S3,S5,,,S2,CT*,S7,S2,S3,,,X,X,S2,S1,S2,
14,LAW,D,X,CT*,S,C*,C7,D,S5,H,X,,,X,X,X,X,X,,,C5,S3,CT*,S7,S1,,,X,X,X,X,X,
16,MK,S3,X,C1,,,D,S5,C4,C4,X,,,H,C4,D,C5,C3,C*,S,C3,C4,C1H,C4,C5,,,X,X,S5,D,C4,
17,PA,B,C2,C5,,,C2,C1MR,X,C2,CT*,S,C*,C2,H,C2,C3,C2,,,C2,D,C2,CT*,C2,,,X,X,X,X,X,
18,RO,S1,C4,S2,,,X,X,X,X,X,,,S5,S2,H,C7,C4,,,X,X,X,X,X,,,X,X,S1,S2,S7,
1,SIL,C5CT,X,S4,,,C5,S7,S4,C1,S3,,,S1,C7,C4,X,C7,,,S7,C5,S4,S5,C4,,,X,X,C7,C3,S4,
19,SIO,X,X,X,,,S5,S4,CT*,X,C1,,,S4,S1,S7,X,X,,,X,X,X,X,X,,,X,X,D,C1H,CT*,
20,ST,B,C1MR,C2,,,C1H,C2,C7,S5,C3,,,X,X,X,X,X,,,C7,C2,C5,C7,D,,C*,S,C*,C2,S5,C7,
21,TH,S7,X,B,,,S7,C3,S7,S3,H,,,S3,C3,C5,S7,S1,,,X,X,X,X,X,,,X,X,CT*,S7,S3,
25,YEU,C4,S4,S3,,,C4,CT*,C1,C5,S7,,,C4,S3,S4,C4,C5,,,X,X,X,X,X,,,X,X,C4,CT*,C3,
26,ZIA,X,CT*,C3,,,X,X,X,X,X,,,C3,X,C7,H,S7,,,X,X,X,X,X,,,X,X,S7,C7,S5,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,





,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,
